% Semenov iron-poor silicate model
%                    rho = 10^-16.1              rho = 10^-12.5 
%     T         Planck avg   Rosseland avg    Planck        Rosseland
     10.0000    0.165914E+00  0.783125E-01   0.165914E+00    0.783125E-01
     10.0693    0.168121E+00  0.788013E-01   0.168121E+00    0.788013E-01
     10.1391    0.170360E+00  0.792957E-01   0.170360E+00    0.792957E-01
     10.2094    0.172632E+00  0.797957E-01   0.172632E+00    0.797957E-01
     10.2802    0.174938E+00  0.803013E-01   0.174938E+00    0.803013E-01
     10.3514    0.177277E+00  0.808126E-01   0.177277E+00    0.808126E-01
     10.4232    0.179650E+00  0.813297E-01   0.179650E+00    0.813297E-01
     10.4954    0.182058E+00  0.818527E-01   0.182058E+00    0.818527E-01
     10.5682    0.184502E+00  0.823817E-01   0.184502E+00    0.823817E-01
     10.6414    0.186981E+00  0.829167E-01   0.186981E+00    0.829167E-01
     10.7152    0.189496E+00  0.834578E-01   0.189496E+00    0.834578E-01
     10.7895    0.192047E+00  0.840052E-01   0.192047E+00    0.840052E-01
     10.8642    0.194636E+00  0.845589E-01   0.194636E+00    0.845589E-01
     10.9395    0.197263E+00  0.851190E-01   0.197263E+00    0.851190E-01
     11.0154    0.199927E+00  0.856856E-01   0.199927E+00    0.856856E-01
     11.0917    0.202630E+00  0.862588E-01   0.202630E+00    0.862588E-01
     11.1686    0.205373E+00  0.868386E-01   0.205373E+00    0.868386E-01
     11.2460    0.208155E+00  0.874253E-01   0.208155E+00    0.874253E-01
     11.3240    0.210977E+00  0.880188E-01   0.210977E+00    0.880188E-01
     11.4025    0.213841E+00  0.886193E-01   0.213841E+00    0.886193E-01
     11.4815    0.216745E+00  0.892269E-01   0.216745E+00    0.892269E-01
     11.5611    0.219691E+00  0.898417E-01   0.219691E+00    0.898417E-01
     11.6412    0.222680E+00  0.904637E-01   0.222680E+00    0.904637E-01
     11.7219    0.225712E+00  0.910932E-01   0.225712E+00    0.910932E-01
     11.8032    0.228788E+00  0.917301E-01   0.228788E+00    0.917301E-01
     11.8850    0.231907E+00  0.923747E-01   0.231907E+00    0.923747E-01
     11.9674    0.235072E+00  0.930269E-01   0.235072E+00    0.930269E-01
     12.0503    0.238282E+00  0.936871E-01   0.238282E+00    0.936871E-01
     12.1339    0.241538E+00  0.943551E-01   0.241538E+00    0.943551E-01
     12.2180    0.244840E+00  0.950313E-01   0.244840E+00    0.950313E-01
     12.3027    0.248190E+00  0.957156E-01   0.248190E+00    0.957156E-01
     12.3879    0.251588E+00  0.964082E-01   0.251588E+00    0.964082E-01
     12.4738    0.255034E+00  0.971093E-01   0.255034E+00    0.971093E-01
     12.5603    0.258529E+00  0.978190E-01   0.258529E+00    0.978190E-01
     12.6473    0.262074E+00  0.985373E-01   0.262074E+00    0.985373E-01
     12.7350    0.265670E+00  0.992644E-01   0.265670E+00    0.992644E-01
     12.8233    0.269316E+00  0.100001E+00   0.269316E+00    0.100001E+00
     12.9121    0.273015E+00  0.100746E+00   0.273015E+00    0.100746E+00
     13.0016    0.276766E+00  0.101500E+00   0.276766E+00    0.101500E+00
     13.0918    0.280570E+00  0.102264E+00   0.280570E+00    0.102264E+00
     13.1825    0.284428E+00  0.103037E+00   0.284428E+00    0.103037E+00
     13.2739    0.288341E+00  0.103820E+00   0.288341E+00    0.103820E+00
     13.3659    0.292309E+00  0.104613E+00   0.292309E+00    0.104613E+00
     13.4585    0.296333E+00  0.105415E+00   0.296333E+00    0.105415E+00
     13.5518    0.300414E+00  0.106228E+00   0.300414E+00    0.106228E+00
     13.6458    0.304553E+00  0.107051E+00   0.304553E+00    0.107051E+00
     13.7404    0.308750E+00  0.107884E+00   0.308750E+00    0.107884E+00
     13.8356    0.313006E+00  0.108728E+00   0.313006E+00    0.108728E+00
     13.9315    0.317322E+00  0.109583E+00   0.317322E+00    0.109583E+00
     14.0281    0.321699E+00  0.110449E+00   0.321699E+00    0.110449E+00
     14.1253    0.326137E+00  0.111325E+00   0.326137E+00    0.111325E+00
     14.2232    0.330637E+00  0.112213E+00   0.330637E+00    0.112213E+00
     14.3218    0.335201E+00  0.113112E+00   0.335201E+00    0.113112E+00
     14.4211    0.339828E+00  0.114023E+00   0.339828E+00    0.114023E+00
     14.5210    0.344520E+00  0.114946E+00   0.344520E+00    0.114946E+00
     14.6217    0.349278E+00  0.115880E+00   0.349278E+00    0.115880E+00
     14.7230    0.354102E+00  0.116827E+00   0.354102E+00    0.116827E+00
     14.8251    0.358994E+00  0.117786E+00   0.358994E+00    0.117786E+00
     14.9279    0.363954E+00  0.118757E+00   0.363954E+00    0.118757E+00
     15.0313    0.368983E+00  0.119741E+00   0.368983E+00    0.119741E+00
     15.1355    0.374082E+00  0.120738E+00   0.374082E+00    0.120738E+00
     15.2404    0.379251E+00  0.121748E+00   0.379251E+00    0.121748E+00
     15.3461    0.384493E+00  0.122772E+00   0.384493E+00    0.122772E+00
     15.4524    0.389807E+00  0.123808E+00   0.389807E+00    0.123808E+00
     15.5596    0.395195E+00  0.124859E+00   0.395195E+00    0.124859E+00
     15.6674    0.400658E+00  0.125924E+00   0.400658E+00    0.125924E+00
     15.7760    0.406197E+00  0.127002E+00   0.406197E+00    0.127002E+00
     15.8854    0.411812E+00  0.128095E+00   0.411812E+00    0.128095E+00
     15.9955    0.417504E+00  0.129203E+00   0.417504E+00    0.129203E+00
     16.1063    0.423275E+00  0.130326E+00   0.423275E+00    0.130326E+00
     16.2180    0.429126E+00  0.131463E+00   0.429126E+00    0.131463E+00
     16.3304    0.435057E+00  0.132616E+00   0.435057E+00    0.132616E+00
     16.4436    0.441070E+00  0.133784E+00   0.441070E+00    0.133784E+00
     16.5576    0.447166E+00  0.134969E+00   0.447166E+00    0.134969E+00
     16.6723    0.453346E+00  0.136169E+00   0.453346E+00    0.136169E+00
     16.7879    0.459610E+00  0.137386E+00   0.459610E+00    0.137386E+00
